play_sequence,game_id,inning,inning_half,batter,pitcher,play_description,play_result,pitch_sequence,raw_text,game_game_id,game_api_url,game_scraped_at,game_away_team,game_home_team
1,401695621,1,Top,Batter_34945,Pitcher_41178,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Swinging', 'pitch_type': 'Four-seam FB', 'velocity': 97, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Strike Swinging', 'pitch_type': 'Four-seam FB', 'velocity': 97, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Strike Swinging', 'pitch_type': 'Changeup', 'velocity': 87, 'balls': 1, 'strikes': 3}]",At-bat 4016956210001: ,401695621,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695621,2025-08-06T17:06:56.560184,CHC,MIA
2,401695621,1,Top,Batter_4142424,Pitcher_41178,Pitch 6 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 98, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 87, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 99, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 98, 'balls': 1, 'strikes': 2}, {'pitch_number': 5, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 92, 'balls': 2, 'strikes': 2}, {'pitch_number': 6, 'result': 'Ground Out', 'pitch_type': 'Four-seam FB', 'velocity': 98, 'balls': 2, 'strikes': 2}]",At-bat 4016956210002: Pitch 6 : Ball In Play,401695621,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695621,2025-08-06T17:06:56.560184,CHC,MIA
3,401695621,1,Top,Batter_34967,Pitcher_41178,Pitch 5 : Ball In Play,Home Run,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Sweeper', 'velocity': 84, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 86, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 98, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 98, 'balls': 3, 'strikes': 1}, {'pitch_number': 5, 'result': 'Home Run', 'pitch_type': 'Four-seam FB', 'velocity': 97, 'balls': 3, 'strikes': 1}]",At-bat 4016956210003: Pitch 5 : Ball In Play,401695621,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695621,2025-08-06T17:06:56.560184,CHC,MIA
4,401695621,1,Top,Batter_32797,Pitcher_41178,Pitch 2 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 97, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Single', 'pitch_type': 'Sinker', 'velocity': 96, 'balls': 1, 'strikes': 0}]",At-bat 4016956210004: Pitch 2 : Ball In Play,401695621,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695621,2025-08-06T17:06:56.560184,CHC,MIA
5,401695621,1,Mid,Batter_34895,Pitcher_41178,Pitch 5 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Sweeper', 'velocity': 83, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Swinging', 'pitch_type': 'Changeup', 'velocity': 85, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 98, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 87, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Fly Out', 'pitch_type': 'Sweeper', 'velocity': 84, 'balls': 2, 'strikes': 2}]",At-bat 4016956210005: Pitch 5 : Ball In Play,401695621,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695621,2025-08-06T17:06:56.560184,CHC,MIA
6,401695621,1,Bottom,Batter_39957,Pitcher_31258,,Other,"[{'pitch_number': 1, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Strike Looking', 'pitch_type': 'Curve', 'velocity': 80, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 83, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Strike Swinging', 'pitch_type': 'Changeup', 'velocity': 83, 'balls': 2, 'strikes': 3}]",At-bat 4016956210101: ,401695621,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695621,2025-08-06T17:06:56.560184,CHC,MIA
7,401695621,1,Bottom,Batter_5132014,Pitcher_31258,Pitch 2 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Cutter', 'velocity': 84, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Fly Out', 'pitch_type': 'Sweeper', 'velocity': 80, 'balls': 0, 'strikes': 1}]",At-bat 4016956210102: Pitch 2 : Ball In Play,401695621,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695621,2025-08-06T17:06:56.560184,CHC,MIA
8,401695621,1,End,Batter_4297978,Pitcher_31258,,Other,"[{'pitch_number': 1, 'result': 'Foul Out', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 0, 'strikes': 0}]",At-bat 4016956210103: ,401695621,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695621,2025-08-06T17:06:56.560184,CHC,MIA
9,401695621,2,Top,Batter_4717833,Pitcher_41178,Pitch 1 : Ball In Play,Popout,"[{'pitch_number': 1, 'result': 'Pop Out', 'pitch_type': 'Four-seam FB', 'velocity': 95, 'balls': 0, 'strikes': 0}]",At-bat 4016956210201: Pitch 1 : Ball In Play,401695621,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695621,2025-08-06T17:06:56.560184,CHC,MIA
10,401695621,2,Top,Batter_41219,Pitcher_41178,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Changeup', 'velocity': 87, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 88, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Foul Out', 'pitch_type': 'Four-seam FB', 'velocity': 98, 'balls': 1, 'strikes': 2}]",At-bat 4016956210202: ,401695621,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695621,2025-08-06T17:06:56.560184,CHC,MIA
11,401695621,2,Mid,Batter_29607,Pitcher_41178,Pitch 5 : Ball In Play,Lineout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 97, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 86, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 97, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 97, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Line Out', 'pitch_type': 'Changeup', 'velocity': 86, 'balls': 2, 'strikes': 2}]",At-bat 4016956210203: Pitch 5 : Ball In Play,401695621,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695621,2025-08-06T17:06:56.560184,CHC,MIA
12,401695621,2,Bottom,Batter_42796,Pitcher_31258,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Curve', 'velocity': 78, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Foul Out', 'pitch_type': 'Changeup', 'velocity': 83, 'balls': 0, 'strikes': 1}]",At-bat 4016956210301: ,401695621,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695621,2025-08-06T17:06:56.560184,CHC,MIA
13,401695621,2,Bottom,Batter_4987650,Pitcher_31258,Pitch 3 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Cutter', 'velocity': 85, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Cutter', 'velocity': 84, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ground Out', 'pitch_type': 'Sweeper', 'velocity': 79, 'balls': 1, 'strikes': 1}]",At-bat 4016956210302: Pitch 3 : Ball In Play,401695621,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695621,2025-08-06T17:06:56.560184,CHC,MIA
14,401695621,2,End,Batter_4912412,Pitcher_31258,Pitch 3 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Curve', 'velocity': 79, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ground Out', 'pitch_type': 'Curve', 'velocity': 79, 'balls': 1, 'strikes': 1}]",At-bat 4016956210303: Pitch 3 : Ball In Play,401695621,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695621,2025-08-06T17:06:56.560184,CHC,MIA
15,401695621,3,Top,Batter_4867667,Pitcher_41178,Pitch 2 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Sweeper', 'velocity': 81, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Single', 'pitch_type': 'Changeup', 'velocity': 86, 'balls': 0, 'strikes': 1}]",At-bat 4016956210401: Pitch 2 : Ball In Play,401695621,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695621,2025-08-06T17:06:56.560184,CHC,MIA
16,401695621,3,Top,Batter_34945,Pitcher_41178,Pitch 2 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ground Out', 'pitch_type': 'Changeup', 'velocity': 86, 'balls': 0, 'strikes': 1}]",At-bat 4016956210402: Pitch 2 : Ball In Play,401695621,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695621,2025-08-06T17:06:56.560184,CHC,MIA
17,401695621,3,Top,Batter_4142424,Pitcher_41178,Pitch 4 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Strike Swinging', 'pitch_type': 'Sweeper', 'velocity': 83, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Slider', 'velocity': 90, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 88, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Single', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 2, 'strikes': 1}]",At-bat 4016956210403: Pitch 4 : Ball In Play,401695621,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695621,2025-08-06T17:06:56.560184,CHC,MIA
18,401695621,3,Mid,Batter_34967,Pitcher_41178,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 96, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Changeup', 'velocity': 85, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Strike Swinging', 'pitch_type': 'Changeup', 'velocity': 86, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Sweeper', 'velocity': 83, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Strike Swinging', 'pitch_type': 'Sweeper', 'velocity': 85, 'balls': 2, 'strikes': 3}]",At-bat 4016956210404: ,401695621,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695621,2025-08-06T17:06:56.560184,CHC,MIA
19,401695621,3,Bottom,Batter_4622931,Pitcher_31258,Pitch 2 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ground Out', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 0, 'strikes': 1}]",At-bat 4016956210501: Pitch 2 : Ball In Play,401695621,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695621,2025-08-06T17:06:56.560184,CHC,MIA
20,401695621,3,Bottom,Batter_41674,Pitcher_31258,Pitch 1 : Ball In Play,Home Run,"[{'pitch_number': 1, 'result': 'Home Run', 'pitch_type': 'Cutter', 'velocity': 86, 'balls': 0, 'strikes': 0}]",At-bat 4016956210502: Pitch 1 : Ball In Play,401695621,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695621,2025-08-06T17:06:56.560184,CHC,MIA
21,401695621,3,Bottom,Batter_5073992,Pitcher_31258,Pitch 3 : Ball In Play,Double,"[{'pitch_number': 1, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Sweeper', 'velocity': 81, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Double', 'pitch_type': 'Sweeper', 'velocity': 80, 'balls': 1, 'strikes': 1}]",At-bat 4016956210503: Pitch 3 : Ball In Play,401695621,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695621,2025-08-06T17:06:56.560184,CHC,MIA
22,401695621,3,Bottom,Batter_39957,Pitcher_31258,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Curve', 'velocity': 78, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Swinging', 'pitch_type': 'Changeup', 'velocity': 83, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Curve', 'velocity': 78, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Foul Ball', 'pitch_type': 'Changeup', 'velocity': 82, 'balls': 2, 'strikes': 2}, {'pitch_number': 6, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 3, 'strikes': 2}, {'pitch_number': 7, 'result': 'Ball', 'pitch_type': 'Curve', 'velocity': 81, 'balls': 4, 'strikes': 2}]",At-bat 4016956210504: ,401695621,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695621,2025-08-06T17:06:56.560184,CHC,MIA
23,401695621,3,End,Batter_5132014,Pitcher_31258,Pitch 1 : Ball In Play,Lineout,"[{'pitch_number': 1, 'result': 'Line Out', 'pitch_type': 'Cutter', 'velocity': 86, 'balls': 0, 'strikes': 0}]",At-bat 4016956210505: Pitch 1 : Ball In Play,401695621,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695621,2025-08-06T17:06:56.560184,CHC,MIA
