play_sequence,game_id,inning,inning_half,batter,pitcher,play_description,play_result,pitch_sequence,raw_text,game_game_id,game_api_url,game_scraped_at,game_away_team,game_home_team
1,401695292,1,Top,Batter_36020,Pitcher_33839,Pitch 2 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 90, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ground Out', 'pitch_type': 'Sinker', 'velocity': 91, 'balls': 0, 'strikes': 1}]",At-bat 4016952920001: Pitch 2 : Ball In Play,401695292,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695292,2025-08-06T16:11:07.324773,CIN,COL
2,401695292,1,Top,Batter_4422899,Pitcher_33839,Pitch 2 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 90, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ground Out', 'pitch_type': 'Cutter', 'velocity': 87, 'balls': 0, 'strikes': 1}]",At-bat 4016952920002: Pitch 2 : Ball In Play,401695292,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695292,2025-08-06T16:11:07.324773,CIN,COL
3,401695292,1,Top,Batter_4917694,Pitcher_33839,Pitch 1 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Single', 'pitch_type': 'Cutter', 'velocity': 86, 'balls': 0, 'strikes': 0}]",At-bat 4016952920003: Pitch 1 : Ball In Play,401695292,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695292,2025-08-06T16:11:07.324773,CIN,COL
4,401695292,1,Top,Batter_36928,Pitcher_33839,,Other,"[{'pitch_number': 1, 'result': 'Foul Ball', 'pitch_type': 'Sinker', 'velocity': 91, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 86, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 85, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Strike Swinging', 'pitch_type': 'Sweeper', 'velocity': 82, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Ball', 'pitch_type': 'Sweeper', 'velocity': 84, 'balls': 3, 'strikes': 2}, {'pitch_number': 6, 'result': 'Ball', 'pitch_type': 'Knuckle Curve', 'velocity': 84, 'balls': 4, 'strikes': 2}]",At-bat 4016952920004: ,401695292,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695292,2025-08-06T16:11:07.324773,CIN,COL
5,401695292,1,Top,Batter_41307,Pitcher_33839,Pitch 2 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 86, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Single', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 1, 'strikes': 0}]",At-bat 4016952920005: Pitch 2 : Ball In Play,401695292,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695292,2025-08-06T16:11:07.324773,CIN,COL
6,401695292,1,Mid,Batter_4722857,Pitcher_33839,Pitch 1 : Ball In Play,Lineout,"[{'pitch_number': 1, 'result': 'Line Out', 'pitch_type': 'Knuckle Curve', 'velocity': 83, 'balls': 0, 'strikes': 0}]",At-bat 4016952920006: Pitch 1 : Ball In Play,401695292,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695292,2025-08-06T16:11:07.324773,CIN,COL
7,401695292,1,Bottom,Batter_4619460,Pitcher_4414528,,Other,"[{'pitch_number': 1, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 90, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Strike Swinging', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 0, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 83, 'balls': 1, 'strikes': 2}, {'pitch_number': 5, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 2, 'strikes': 2}, {'pitch_number': 6, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 2, 'strikes': 3}]",At-bat 4016952920101: ,401695292,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695292,2025-08-06T16:11:07.324773,CIN,COL
8,401695292,1,Bottom,Batter_41989,Pitcher_4414528,Pitch 9 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Changeup', 'velocity': 83, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Foul Out', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 1, 'strikes': 1}, {'pitch_number': 4, 'result': 'Foul Ball', 'pitch_type': 'Curve', 'velocity': 81, 'balls': 1, 'strikes': 2}, {'pitch_number': 5, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 1, 'strikes': 2}, {'pitch_number': 6, 'result': 'Ground Out', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 1, 'strikes': 2}, {'pitch_number': 7, 'result': 'Foul Ball', 'pitch_type': 'Curve', 'velocity': 81, 'balls': 2, 'strikes': 2}, {'pitch_number': 8, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 2, 'strikes': 2}, {'pitch_number': 9, 'result': 'Ground Out', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 2, 'strikes': 2}]",At-bat 4016952920102: Pitch 9 : Ball In Play,401695292,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695292,2025-08-06T16:11:07.324773,CIN,COL
9,401695292,1,End,Batter_33247,Pitcher_4414528,Pitch 6 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Curve', 'velocity': 81, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Foul Ball', 'pitch_type': 'Curve', 'velocity': 81, 'balls': 1, 'strikes': 2}, {'pitch_number': 5, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 1, 'strikes': 2}, {'pitch_number': 6, 'result': 'Ground Out', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 1, 'strikes': 2}]",At-bat 4016952920103: Pitch 6 : Ball In Play,401695292,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695292,2025-08-06T16:11:07.324773,CIN,COL
10,401695292,2,Top,Batter_39924,Pitcher_33839,Pitch 4 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 90, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 90, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Changeup', 'velocity': 85, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Single', 'pitch_type': 'Sweeper', 'velocity': 83, 'balls': 1, 'strikes': 2}]",At-bat 4016952920201: Pitch 4 : Ball In Play,401695292,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695292,2025-08-06T16:11:07.324773,CIN,COL
11,401695292,2,Top,Batter_35314,Pitcher_33839,Pitch 6 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Changeup', 'velocity': 85, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Cutter', 'velocity': 87, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 90, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 85, 'balls': 3, 'strikes': 1}, {'pitch_number': 5, 'result': 'Foul Ball', 'pitch_type': 'Cutter', 'velocity': 87, 'balls': 3, 'strikes': 2}, {'pitch_number': 6, 'result': 'Ground Out', 'pitch_type': 'Sinker', 'velocity': 91, 'balls': 3, 'strikes': 2}]",At-bat 4016952920202: Pitch 6 : Ball In Play,401695292,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695292,2025-08-06T16:11:07.324773,CIN,COL
12,401695292,2,Top,Batter_4650237,Pitcher_33839,Pitch 3 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Cutter', 'velocity': 87, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Sinker', 'velocity': 91, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ground Out', 'pitch_type': 'Changeup', 'velocity': 87, 'balls': 1, 'strikes': 1}]",At-bat 4016952920203: Pitch 3 : Ball In Play,401695292,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695292,2025-08-06T16:11:07.324773,CIN,COL
13,401695292,2,Mid,Batter_36020,Pitcher_33839,Pitch 2 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Cutter', 'velocity': 88, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ground Out', 'pitch_type': 'Sinker', 'velocity': 92, 'balls': 1, 'strikes': 0}]",At-bat 4016952920204: Pitch 2 : Ball In Play,401695292,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695292,2025-08-06T16:11:07.324773,CIN,COL
14,401695292,2,Bottom,Batter_4416591,Pitcher_4414528,Pitch 3 : Ball In Play,Double,"[{'pitch_number': 1, 'result': 'Strike Swinging', 'pitch_type': 'Curve', 'velocity': 78, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Changeup', 'velocity': 84, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Double', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 0, 'strikes': 2}]",At-bat 4016952920301: Pitch 3 : Ball In Play,401695292,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695292,2025-08-06T16:11:07.324773,CIN,COL
15,401695292,2,Bottom,Batter_34089,Pitcher_4414528,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 84, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 83, 'balls': 3, 'strikes': 1}, {'pitch_number': 5, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 4, 'strikes': 1}]",At-bat 4016952920302: ,401695292,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695292,2025-08-06T16:11:07.324773,CIN,COL
16,401695292,2,Bottom,Batter_36181,Pitcher_4414528,Pitch 3 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Sweeper', 'velocity': 81, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Fly Out', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 2, 'strikes': 0}]",At-bat 4016952920303: Pitch 3 : Ball In Play,401695292,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695292,2025-08-06T16:11:07.324773,CIN,COL
17,401695292,2,Bottom,Batter_42412,Pitcher_4414528,Pitch 5 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Curve', 'velocity': 80, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Sweeper', 'velocity': 81, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Strike Swinging', 'pitch_type': 'Changeup', 'velocity': 82, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 1, 'strikes': 2}, {'pitch_number': 5, 'result': 'Single', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 1, 'strikes': 2}]",At-bat 4016952920304: Pitch 5 : Ball In Play,401695292,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695292,2025-08-06T16:11:07.324773,CIN,COL
18,401695292,2,Bottom,Batter_4917787,Pitcher_4414528,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 82, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 3, 'strikes': 1}, {'pitch_number': 5, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 93, 'balls': 4, 'strikes': 1}]",At-bat 4016952920305: ,401695292,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695292,2025-08-06T16:11:07.324773,CIN,COL
19,401695292,2,End,Batter_42430,Pitcher_4414528,Pitch 5 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 84, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Ground Out', 'pitch_type': 'Curve', 'velocity': 83, 'balls': 2, 'strikes': 2}]",At-bat 4016952920306: Pitch 5 : Ball In Play,401695292,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695292,2025-08-06T16:11:07.324773,CIN,COL
20,401695292,3,Top,Batter_4422899,Pitcher_33839,Pitch 5 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 88, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Sinker', 'velocity': 90, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Changeup', 'velocity': 85, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 92, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Fly Out', 'pitch_type': 'Knuckle Curve', 'velocity': 83, 'balls': 2, 'strikes': 2}]",At-bat 4016952920401: Pitch 5 : Ball In Play,401695292,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695292,2025-08-06T16:11:07.324773,CIN,COL
21,401695292,3,Top,Batter_4917694,Pitcher_33839,Pitch 1 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Single', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 0, 'strikes': 0}]",At-bat 4016952920402: Pitch 1 : Ball In Play,401695292,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695292,2025-08-06T16:11:07.324773,CIN,COL
22,401695292,3,Top,Batter_36928,Pitcher_33839,Pitch 1 : Ball In Play,Double,"[{'pitch_number': 1, 'result': 'Double', 'pitch_type': 'Sinker', 'velocity': 90, 'balls': 0, 'strikes': 0}]",At-bat 4016952920403: Pitch 1 : Ball In Play,401695292,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695292,2025-08-06T16:11:07.324773,CIN,COL
23,401695292,3,Top,Batter_41307,Pitcher_33839,Pitch 5 : Ball In Play,Groundout,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Cutter', 'velocity': 88, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Changeup', 'velocity': 86, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 86, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Foul Ball', 'pitch_type': 'Sweeper', 'velocity': 85, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Ground Out', 'pitch_type': 'Sinker', 'velocity': 91, 'balls': 2, 'strikes': 2}]",At-bat 4016952920404: Pitch 5 : Ball In Play,401695292,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695292,2025-08-06T16:11:07.324773,CIN,COL
24,401695292,3,Top,Batter_4722857,Pitcher_33839,Pitch 6 : Ball In Play,Home Run,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Sweeper', 'velocity': 84, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Changeup', 'velocity': 86, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 92, 'balls': 3, 'strikes': 1}, {'pitch_number': 5, 'result': 'Strike Swinging', 'pitch_type': 'Changeup', 'velocity': 87, 'balls': 3, 'strikes': 2}, {'pitch_number': 6, 'result': 'Home Run', 'pitch_type': 'Cutter', 'velocity': 88, 'balls': 3, 'strikes': 2}]",At-bat 4016952920405: Pitch 6 : Ball In Play,401695292,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695292,2025-08-06T16:11:07.324773,CIN,COL
25,401695292,3,Mid,Batter_39924,Pitcher_33839,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Knuckle Curve', 'velocity': 82, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 91, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Sinker', 'velocity': 91, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Foul Ball', 'pitch_type': 'Sweeper', 'velocity': 83, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Foul Ball', 'pitch_type': 'Sweeper', 'velocity': 83, 'balls': 2, 'strikes': 2}, {'pitch_number': 6, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 2, 'strikes': 2}, {'pitch_number': 7, 'result': 'Strike Looking', 'pitch_type': 'Sweeper', 'velocity': 84, 'balls': 2, 'strikes': 3}]",At-bat 4016952920406: ,401695292,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695292,2025-08-06T16:11:07.324773,CIN,COL
26,401695292,3,Bottom,Batter_4619460,Pitcher_4414528,Pitch 2 : Ball In Play,Home Run,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Curve', 'velocity': 77, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Home Run', 'pitch_type': 'Changeup', 'velocity': 82, 'balls': 0, 'strikes': 1}]",At-bat 4016952920501: Pitch 2 : Ball In Play,401695292,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695292,2025-08-06T16:11:07.324773,CIN,COL
27,401695292,3,Bottom,Batter_41989,Pitcher_4414528,Pitch 1 : Ball In Play,Single,"[{'pitch_number': 1, 'result': 'Single', 'pitch_type': 'Four-seam FB', 'velocity': 89, 'balls': 0, 'strikes': 0}]",At-bat 4016952920502: Pitch 1 : Ball In Play,401695292,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695292,2025-08-06T16:11:07.324773,CIN,COL
28,401695292,3,Bottom,Batter_33247,Pitcher_4414528,Pitch 1 : Ball In Play,Flyout,"[{'pitch_number': 1, 'result': 'Fly Out', 'pitch_type': 'Four-seam FB', 'velocity': 90, 'balls': 0, 'strikes': 0}]",At-bat 4016952920503: Pitch 1 : Ball In Play,401695292,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695292,2025-08-06T16:11:07.324773,CIN,COL
29,401695292,3,Bottom,Batter_4416591,Pitcher_4414528,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 89, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Sweeper', 'velocity': 81, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Changeup', 'velocity': 82, 'balls': 3, 'strikes': 0}, {'pitch_number': 4, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 90, 'balls': 3, 'strikes': 1}, {'pitch_number': 5, 'result': 'Ball', 'pitch_type': 'Sweeper', 'velocity': 82, 'balls': 4, 'strikes': 1}]",At-bat 4016952920504: ,401695292,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695292,2025-08-06T16:11:07.324773,CIN,COL
30,401695292,3,Bottom,Batter_34089,Pitcher_4414528,,Other,"[{'pitch_number': 1, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 89, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Strike Swinging', 'pitch_type': 'Sweeper', 'velocity': 81, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Strike Swinging', 'pitch_type': 'Changeup', 'velocity': 82, 'balls': 0, 'strikes': 3}]",At-bat 4016952920505: ,401695292,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695292,2025-08-06T16:11:07.324773,CIN,COL
31,401695292,3,Bottom,Batter_36181,Pitcher_4414528,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Sweeper', 'velocity': 81, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Sweeper', 'velocity': 79, 'balls': 2, 'strikes': 0}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 90, 'balls': 3, 'strikes': 0}, {'pitch_number': 4, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 90, 'balls': 3, 'strikes': 1}, {'pitch_number': 5, 'result': 'Ball', 'pitch_type': 'Sweeper', 'velocity': 81, 'balls': 4, 'strikes': 1}]",At-bat 4016952920506: ,401695292,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695292,2025-08-06T16:11:07.324773,CIN,COL
32,401695292,3,Bottom,Batter_42412,Pitcher_4414528,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 89, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Ball', 'pitch_type': 'Sweeper', 'velocity': 81, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 90, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Ground Rule Double', 'pitch_type': 'Changeup', 'velocity': 83, 'balls': 2, 'strikes': 1}]",At-bat 4016952920507: ,401695292,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695292,2025-08-06T16:11:07.324773,CIN,COL
33,401695292,3,End,Batter_4917787,Pitcher_4414528,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 90, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Curve', 'velocity': 81, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 89, 'balls': 1, 'strikes': 2}, {'pitch_number': 4, 'result': 'Ball', 'pitch_type': 'Four-seam FB', 'velocity': 88, 'balls': 2, 'strikes': 2}, {'pitch_number': 5, 'result': 'Strike Swinging', 'pitch_type': 'Curve', 'velocity': 79, 'balls': 2, 'strikes': 3}]",At-bat 4016952920508: ,401695292,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695292,2025-08-06T16:11:07.324773,CIN,COL
34,401695292,4,Top,Batter_35314,Pitcher_33839,,Other,"[{'pitch_number': 1, 'result': 'Strike Looking', 'pitch_type': 'Four-seam FB', 'velocity': 89, 'balls': 0, 'strikes': 1}, {'pitch_number': 2, 'result': 'Foul Ball', 'pitch_type': 'Four-seam FB', 'velocity': 90, 'balls': 0, 'strikes': 2}, {'pitch_number': 3, 'result': 'Foul Ball', 'pitch_type': 'Sweeper', 'velocity': 83, 'balls': 0, 'strikes': 2}, {'pitch_number': 4, 'result': 'Strike Swinging', 'pitch_type': 'Knuckle Curve', 'velocity': 83, 'balls': 0, 'strikes': 3}]",At-bat 4016952920601: ,401695292,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695292,2025-08-06T16:11:07.324773,CIN,COL
35,401695292,4,Top,Batter_4650237,Pitcher_33839,Pitch 1 : Ball In Play,Double,"[{'pitch_number': 1, 'result': 'Double', 'pitch_type': 'Four-seam FB', 'velocity': 91, 'balls': 0, 'strikes': 0}]",At-bat 4016952920602: Pitch 1 : Ball In Play,401695292,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695292,2025-08-06T16:11:07.324773,CIN,COL
36,401695292,4,Top,Batter_36020,Pitcher_33839,,Other,"[{'pitch_number': 1, 'result': 'Ball', 'pitch_type': 'Knuckle Curve', 'velocity': 84, 'balls': 1, 'strikes': 0}, {'pitch_number': 2, 'result': 'Strike Looking', 'pitch_type': 'Cutter', 'velocity': 87, 'balls': 1, 'strikes': 1}, {'pitch_number': 3, 'result': 'Ball', 'pitch_type': 'Sinker', 'velocity': 91, 'balls': 2, 'strikes': 1}, {'pitch_number': 4, 'result': 'Batter Reached On Error - Batter To First', 'pitch_type': 'Four-seam FB', 'velocity': 90, 'balls': 2, 'strikes': 1}]",At-bat 4016952920603: ,401695292,https://site.api.espn.com/apis/site/v2/sports/baseball/mlb/summary?event=401695292,2025-08-06T16:11:07.324773,CIN,COL
